evy;Corel Envoy;application/envoy
fif;fractal image file;application/fractals
spl;Windows print spool file;application/futuresplash
hta;HTML application;application/hta
acx;Atari ST Program;application/internet-property-stream
hqx;BinHex encoded file;application/mac-binhex40
doc;Word document;application/msword
dot;Word document template;application/msword
bin;binary disk image;application/octet-stream
class;Java class file;application/octet-stream
dms;Disk Masher image;application/octet-stream
exe;executable file;application/octet-stream
lha;LHARC compressed archive;application/octet-stream
lzh;LZH compressed file;application/octet-stream
oda;CALS raster image;application/oda
axs;ActiveX script;application/olescript
pdf;Acrobat file;application/pdf
prf;Outlook profile file;application/pics-rules
p10;certificate request file;application/pkcs10
crl;certificate revocation list file;application/pkix-crl
ai;Adobe Illustrator file;application/postscript
eps;postscript file;application/postscript
ps;postscript file;application/postscript
rtf;rich text format file;application/rtf
setpay;set payment initiation;application/set-payment-initiation
setreg;set registration initiation;application/set-registration-initiation
xla;Excel Add-in file;application/vnd.ms-excel
xlc;Excel chart;application/vnd.ms-excel
xlm;Excel macro;application/vnd.ms-excel
xls;Excel spreadsheet;application/vnd.ms-excel
xlt;Excel template;application/vnd.ms-excel
xlw;Excel worspace;application/vnd.ms-excel
msg;Outlook mail message;application/vnd.ms-outlook
sst;serialized certificate store file;application/vnd.ms-pkicertstore
cat;Windows catalog file;application/vnd.ms-pkiseccat
stl;stereolithography file;application/vnd.ms-pkistl
pot;PowerPoint template;application/vnd.ms-powerpoint
pps;PowerPoint slide show;application/vnd.ms-powerpoint
ppt;PowerPoint presentation;application/vnd.ms-powerpoint
mpp;Microsoft Project file;application/vnd.ms-project
wcm;WordPerfect macro;application/vnd.ms-works
wdb;Microsoft Works database;application/vnd.ms-works
wks;Microsoft Works spreadsheet;application/vnd.ms-works
wps;Microsoft Works word processsor document;application/vnd.ms-works
hlp;Windows help file;application/winhlp
bcpio;binary CPIO archive;application/x-bcpio
cdf;computable document format file;application/x-cdf
z;Unix compressed file;application/x-compress
tgz;gzipped tar file;application/x-compressed
cpio;Unix CPIO archive;application/x-cpio
csh;Photoshop custom shapes file;application/x-csh
dcr;Kodak RAW image file;application/x-director
dir;Adobe Director movie;application/x-director
dxr;Macromedia Director movie;application/x-director
dvi;device independent format file;application/x-dvi
gtar;Gnu tar archive;application/x-gtar
gz;Gnu zipped archive;application/x-gzip
hdf;hierarchical data format file;application/x-hdf
ins;internet settings file;application/x-internet-signup
isp;IIS internet service provider settings;application/x-internet-signup
iii;ARC+ architectural file;application/x-iphone
js;JavaScript file;application/x-javascript
latex;LaTex document;application/x-latex
mdb;Microsoft Access database;application/x-msaccess
crd;Windows CardSpace file;application/x-mscardfile
clp;CrazyTalk clip file;application/x-msclip
dll;dynamic link library;application/x-msdownload
m13;Microsoft media viewer file;application/x-msmediaview
m14;Steuer2001 file;application/x-msmediaview
mvb;multimedia viewer book source file;application/x-msmediaview
wmf;Windows meta file;application/x-msmetafile
mny;Microsoft Money file;application/x-msmoney
pub;Microsoft Publisher file;application/x-mspublisher
scd;Turbo Tax tax schedule list;application/x-msschedule
trm;FTR media file;application/x-msterminal
wri;Microsoft Write file;application/x-mswrite
cdf;computable document format file;application/x-netcdf
nc;Mastercam numerical control file;application/x-netcdf
pma;MSX computers archive format;application/x-perfmon
pmc;performance monitor counter file;application/x-perfmon
pml;process monitor log file;application/x-perfmon
pmr;Avid persistant media record file;application/x-perfmon
pmw;Pegasus Mail draft stored message;application/x-perfmon
p12;personal information exchange file;application/x-pkcs12
pfx;PKCS #12 certificate file;application/x-pkcs12
p7b;PKCS #7 certificate file;application/x-pkcs7-certificates
spc;software publisher certificate file;application/x-pkcs7-certificates
p7r;certificate request response file;application/x-pkcs7-certreqresp
p7c;PKCS #7 certificate file;application/x-pkcs7-mime
p7m;digitally encrypted message;application/x-pkcs7-mime
p7s;digitally signed email message;application/x-pkcs7-signature
sh;Bash shell script;application/x-sh
shar;Unix shar archive;application/x-shar
swf;Flash file;application/x-shockwave-flash
sit;Stuffit archive file;application/x-stuffit
sv4cpio;system 5 release 4 CPIO file;application/x-sv4cpio
sv4crc;system 5 release 4 CPIO checksum data;application/x-sv4crc
tar;consolidated Unix file archive;application/x-tar
tcl;Tcl script;application/x-tcl
tex;LaTeX source document;application/x-tex
texi;LaTeX info document;application/x-texinfo
texinfo;LaTeX info document;application/x-texinfo
roff;unformatted manual page;application/x-troff
t;Turing source code file;application/x-troff
tr;TomeRaider 2 ebook file;application/x-troff
man;Unix manual;application/x-troff-man
me;readme text file;application/x-troff-me
ms;3ds Max script file;application/x-troff-ms
ustar;uniform standard tape archive format file;application/x-ustar
src;source code;application/x-wais-source
cer;internet security certificate;application/x-x509-ca-cert
crt;security certificate;application/x-x509-ca-cert
der;DER certificate file;application/x-x509-ca-cert
pko;public key security object;application/ynd.ms-pkipko
zip;zipped file;application/zip
au;audio file;audio/basic
snd;sound file;audio/basic
mid;midi file;audio/mid
rmi;media processing server studio;audio/mid
mp3;MP3 file;audio/mpeg
aif;audio interchange file format;audio/x-aiff
aifc;compressed audio interchange file;audio/x-aiff
aiff;audio interchange file format;audio/x-aiff
m3u;media playlist file;audio/x-mpegurl
ra;Real Audio file;audio/x-pn-realaudio
ram;Real Audio metadata file;audio/x-pn-realaudio
wav;WAVE audio file;audio/x-wav
bmp;Bitmap;image/bmp
cod;compiled source code;image/cis-cod
gif;graphic interchange format;image/gif
ief;image file;image/ief
jpe;JPEG image;image/jpeg
jpeg;JPEG image;image/jpeg
jpg;JPEG image;image/jpeg
jfif;JPEG file interchange format;image/pipeg
svg;scalable vector graphic;image/svg+xml
tif;TIF image;image/tiff
tiff;TIF image;image/tiff
ras;Sun raster graphic;image/x-cmu-raster
cmx;Corel metafile exchange image file;image/x-cmx
ico;icon;image/x-icon
pnm;portable any map image;image/x-portable-anymap
pbm;portable bitmap image;image/x-portable-bitmap
pgm;portable graymap image;image/x-portable-graymap
ppm;portable pixmap image;image/x-portable-pixmap
rgb;RGB bitmap;image/x-rgb
xbm;X11 bitmap;image/x-xbitmap
xpm;X11 pixmap;image/x-xpixmap
xwd;X-Windows dump image;image/x-xwindowdump
mht;MHTML web archive;message/rfc822
mhtml;MIME HTML file;message/rfc822
nws;Windows Live Mail newsgroup file;message/rfc822
css;Cascading Style Sheet;text/css
323;H.323 internet telephony file;text/h323
htm;HTML file;text/html
html;HTML file;text/html
stm;Exchange streaming media file;text/html
uls;NetMeeting user location service file;text/iuls
bas;BASIC source code file;text/plain
c;C/C++ source code file;text/plain
h;C/C++/Objective C header file;text/plain
txt;text file;text/plain
rtx;rich text file;text/richtext
sct;Scitext continuous tone file;text/scriptlet
tsv;tab separated values file;text/tab-separated-values
htt;hypertext template file;text/webviewhtml
htc;HTML component file;text/x-component
etx;TeX font encoding file;text/x-setext
vcf;vCard file;text/x-vcard
mp2;MPEG-2 audio file;video/mpeg
mpa;MPEG-2 audio file;video/mpeg
mpe;MPEG movie file;video/mpeg
mpeg;MPEG movie file;video/mpeg
mpg;MPEG movie file;video/mpeg
mpv2;MPEG-2 video stream;video/mpeg
mov;Apple QuickTime movie;video/quicktime
qt;Apple QuickTime movie;video/quicktime
lsf;Logos library system file;video/x-la-asf
lsx;streaming media shortcut;video/x-la-asf
asf;advanced systems format file;video/x-ms-asf
asr;ActionScript remote document;video/x-ms-asf
asx;Microsoft ASF redirector file;video/x-ms-asf
avi;audio video interleave file;video/x-msvideo
movie;Apple QuickTime movie;video/x-sgi-movie
flr;Flare decompiled actionscript file;x-world/x-vrml
vrml;VRML file;x-world/x-vrml
wrl;VRML world;x-world/x-vrml
wrz;compressed VRML world;x-world/x-vrml
xaf;3ds max XML animation file;x-world/x-vrml
xof;Reality Lab 3D image file;x-world/x-vrml
